133: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
134: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
135: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
136: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
137: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
138: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
139: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
140: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
141: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
142: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
143: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
144: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
145: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
146: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
147: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
148: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
149: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
150: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
151: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
152: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
153: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
154: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
155: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
156: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
157: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
158: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
159: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
160: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
161: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
162: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
163: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
164: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
165: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
166: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
167: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
168: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
169: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
170: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
171: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
172: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
173: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
174: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
175: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 3, 9 3, 10 3
176: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 9 3, 10 3
177: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 9 3, 10 3
178: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 9 3, 10 3
179: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 9 3, 10 3
180: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
181: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
182: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
183: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
184: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
185: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
186: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
187: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
188: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
189: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
190: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
191: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
192: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 10 3
